"date","week","day","id","tent","total_eggs","treatment","eggs"
2018-11-05,2,1,"16-4385",2,129,"treated",62
2018-11-05,2,1,"16-4385",2,129,"untreated",67
2018-11-06,2,2,"16-4385",2,27,"treated",27
2018-11-06,2,2,"16-4385",2,27,"untreated",0
2018-11-07,2,3,"16-4385",2,3,"treated",3
2018-11-07,2,3,"16-4385",2,3,"untreated",0
2018-11-05,2,1,"16-4410",10,0,"treated",0
2018-11-05,2,1,"16-4410",10,0,"untreated",0
2018-11-06,2,2,"16-4410",10,7,"treated",6
2018-11-06,2,2,"16-4410",10,7,"untreated",1
2018-11-07,2,3,"16-4410",10,0,"treated",0
2018-11-07,2,3,"16-4410",10,0,"untreated",0
2018-11-05,2,1,"16-4417",11,0,"treated",0
2018-11-05,2,1,"16-4417",11,0,"untreated",0
2018-11-06,2,2,"16-4417",11,62,"treated",24
2018-11-06,2,2,"16-4417",11,62,"untreated",38
2018-11-07,2,3,"16-4417",11,16,"treated",0
2018-11-07,2,3,"16-4417",11,16,"untreated",16
2018-11-05,2,1,"16-4418",5,88,"treated",47
2018-11-05,2,1,"16-4418",5,88,"untreated",41
2018-11-06,2,2,"16-4418",5,40,"treated",15
2018-11-06,2,2,"16-4418",5,40,"untreated",25
2018-11-07,2,3,"16-4418",5,54,"treated",12
2018-11-07,2,3,"16-4418",5,54,"untreated",42
2018-11-26,4,1,"16-4476",7,75,"treated",18
2018-11-26,4,1,"16-4476",7,75,"untreated",57
2018-11-27,4,2,"16-4476",7,21,"treated",1
2018-11-27,4,2,"16-4476",7,21,"untreated",20
2018-11-28,4,3,"16-4476",7,44,"treated",12
2018-11-28,4,3,"16-4476",7,44,"untreated",32
2018-11-26,4,1,"16-4497",6,48,"treated",12
2018-11-26,4,1,"16-4497",6,48,"untreated",36
2018-11-27,4,2,"16-4497",6,51,"treated",24
2018-11-27,4,2,"16-4497",6,51,"untreated",27
2018-11-28,4,3,"16-4497",6,62,"treated",19
2018-11-28,4,3,"16-4497",6,62,"untreated",43
2018-11-26,4,1,"16-4500",3,71,"treated",42
2018-11-26,4,1,"16-4500",3,71,"untreated",29
2018-11-27,4,2,"16-4500",3,20,"treated",17
2018-11-27,4,2,"16-4500",3,20,"untreated",3
2018-11-28,4,3,"16-4500",3,61,"treated",57
2018-11-28,4,3,"16-4500",3,61,"untreated",4
2018-11-26,4,1,"16-4506",1,73,"treated",34
2018-11-26,4,1,"16-4506",1,73,"untreated",39
2018-11-27,4,2,"16-4506",1,55,"treated",40
2018-11-27,4,2,"16-4506",1,55,"untreated",15
2018-11-28,4,3,"16-4506",1,90,"treated",60
2018-11-28,4,3,"16-4506",1,90,"untreated",30
2018-11-26,4,1,"16-4545",4,9,"treated",0
2018-11-26,4,1,"16-4545",4,9,"untreated",9
2018-11-27,4,2,"16-4545",4,9,"treated",9
2018-11-27,4,2,"16-4545",4,9,"untreated",0
2018-11-28,4,3,"16-4545",4,69,"treated",11
2018-11-28,4,3,"16-4545",4,69,"untreated",58
2018-11-26,4,1,"16-4546",12,26,"treated",10
2018-11-26,4,1,"16-4546",12,26,"untreated",16
2018-11-27,4,2,"16-4546",12,31,"treated",14
2018-11-27,4,2,"16-4546",12,31,"untreated",17
2018-11-28,4,3,"16-4546",12,20,"treated",11
2018-11-28,4,3,"16-4546",12,20,"untreated",9
2018-11-26,4,1,"16-4548",11,0,"treated",0
2018-11-26,4,1,"16-4548",11,0,"untreated",0
2018-11-27,4,2,"16-4548",11,0,"treated",0
2018-11-27,4,2,"16-4548",11,0,"untreated",0
2018-11-28,4,3,"16-4548",11,4,"treated",1
2018-11-28,4,3,"16-4548",11,4,"untreated",3
2018-11-26,4,1,"16-4570",8,54,"treated",29
2018-11-26,4,1,"16-4570",8,54,"untreated",25
2018-11-27,4,2,"16-4570",8,56,"treated",28
2018-11-27,4,2,"16-4570",8,56,"untreated",28
2018-11-28,4,3,"16-4570",8,57,"treated",13
2018-11-28,4,3,"16-4570",8,57,"untreated",44
2018-10-29,1,1,"17-2305",1,0,"treated",0
2018-10-29,1,1,"17-2305",1,0,"untreated",0
2018-10-30,1,2,"17-2305",1,7,"treated",7
2018-10-30,1,2,"17-2305",1,7,"untreated",0
2018-10-31,1,3,"17-2305",1,0,"treated",0
2018-10-31,1,3,"17-2305",1,0,"untreated",0
2018-10-29,1,1,"17-2333",3,0,"treated",0
2018-10-29,1,1,"17-2333",3,0,"untreated",0
2018-10-30,1,2,"17-2333",3,67,"treated",38
2018-10-30,1,2,"17-2333",3,67,"untreated",29
2018-10-31,1,3,"17-2333",3,45,"treated",1
2018-10-31,1,3,"17-2333",3,45,"untreated",44
2018-10-29,1,1,"17-2360",6,0,"treated",0
2018-10-29,1,1,"17-2360",6,0,"untreated",0
2018-10-30,1,2,"17-2360",6,128,"treated",37
2018-10-30,1,2,"17-2360",6,128,"untreated",91
2018-10-31,1,3,"17-2360",6,22,"treated",8
2018-10-31,1,3,"17-2360",6,22,"untreated",14
2018-10-29,1,1,"17-2368",4,0,"treated",0
2018-10-29,1,1,"17-2368",4,0,"untreated",0
2018-10-30,1,2,"17-2368",4,0,"treated",0
2018-10-30,1,2,"17-2368",4,0,"untreated",0
2018-10-31,1,3,"17-2368",4,24,"treated",7
2018-10-31,1,3,"17-2368",4,24,"untreated",17
2018-10-29,1,1,"17-2386",5,30,"treated",13
2018-10-29,1,1,"17-2386",5,30,"untreated",17
2018-10-30,1,2,"17-2386",5,25,"treated",5
2018-10-30,1,2,"17-2386",5,25,"untreated",20
2018-10-31,1,3,"17-2386",5,0,"treated",0
2018-10-31,1,3,"17-2386",5,0,"untreated",0
2018-11-12,3,1,"17-2396",1,0,"treated",0
2018-11-12,3,1,"17-2396",1,0,"untreated",0
2018-11-13,3,2,"17-2396",1,1,"treated",1
2018-11-13,3,2,"17-2396",1,1,"untreated",0
2018-11-14,3,3,"17-2396",1,0,"treated",0
2018-11-14,3,3,"17-2396",1,0,"untreated",0
2018-11-12,3,1,"17-2401",10,0,"treated",0
2018-11-12,3,1,"17-2401",10,0,"untreated",0
2018-11-13,3,2,"17-2401",10,0,"treated",0
2018-11-13,3,2,"17-2401",10,0,"untreated",0
2018-11-14,3,3,"17-2401",10,54,"treated",34
2018-11-14,3,3,"17-2401",10,54,"untreated",20
2018-11-12,3,1,"17-2421",2,52,"treated",41
2018-11-12,3,1,"17-2421",2,52,"untreated",11
2018-11-13,3,2,"17-2421",2,28,"treated",16
2018-11-13,3,2,"17-2421",2,28,"untreated",12
2018-11-14,3,3,"17-2421",2,51,"treated",10
2018-11-14,3,3,"17-2421",2,51,"untreated",41
2018-11-12,3,1,"17-2423",6,116,"treated",61
2018-11-12,3,1,"17-2423",6,116,"untreated",55
2018-11-13,3,2,"17-2423",6,52,"treated",35
2018-11-13,3,2,"17-2423",6,52,"untreated",17
2018-11-14,3,3,"17-2423",6,74,"treated",31
2018-11-14,3,3,"17-2423",6,74,"untreated",43
2018-11-12,3,1,"17-2436",7,0,"treated",0
2018-11-12,3,1,"17-2436",7,0,"untreated",0
2018-11-13,3,2,"17-2436",7,88,"treated",42
2018-11-13,3,2,"17-2436",7,88,"untreated",46
2018-11-14,3,3,"17-2436",7,0,"treated",0
2018-11-14,3,3,"17-2436",7,0,"untreated",0
2018-11-12,3,1,"17-2462",11,40,"treated",13
2018-11-12,3,1,"17-2462",11,40,"untreated",27
2018-11-13,3,2,"17-2462",11,43,"treated",22
2018-11-13,3,2,"17-2462",11,43,"untreated",21
2018-11-14,3,3,"17-2462",11,119,"treated",53
2018-11-14,3,3,"17-2462",11,119,"untreated",66
2018-11-12,3,1,"17-2463",3,54,"treated",17
2018-11-12,3,1,"17-2463",3,54,"untreated",37
2018-11-13,3,2,"17-2463",3,5,"treated",4
2018-11-13,3,2,"17-2463",3,5,"untreated",1
2018-11-14,3,3,"17-2463",3,78,"treated",33
2018-11-14,3,3,"17-2463",3,78,"untreated",45
2018-11-12,3,1,"17-2471",5,148,"treated",93
2018-11-12,3,1,"17-2471",5,148,"untreated",55
2018-11-13,3,2,"17-2471",5,64,"treated",52
2018-11-13,3,2,"17-2471",5,64,"untreated",12
2018-11-14,3,3,"17-2471",5,113,"treated",107
2018-11-14,3,3,"17-2471",5,113,"untreated",6
2018-10-29,1,1,"17-6336",2,9,"treated",1
2018-10-29,1,1,"17-6336",2,9,"untreated",8
2018-10-30,1,2,"17-6336",2,30,"treated",9
2018-10-30,1,2,"17-6336",2,30,"untreated",21
2018-10-31,1,3,"17-6336",2,6,"treated",2
2018-10-31,1,3,"17-6336",2,6,"untreated",4
