"id","treatment","total_eggs"
"16-5889","treated",80
"16-5889","untreated",58
"16-5891","treated",120
"16-5891","untreated",85
"16-5896","treated",249
"16-5896","untreated",160
"16-5897","treated",127
"16-5897","untreated",252
"16-5927","treated",47
"16-5927","untreated",73
"16-5940","treated",111
"16-5940","untreated",114
"17-3625","treated",104
"17-3625","untreated",89
"17-3630","treated",74
"17-3630","untreated",0
"17-3646","treated",57
"17-3646","untreated",87
"17-3659","treated",182
"17-3659","untreated",295
"17-3663","treated",78
"17-3663","untreated",164
"17-3665","treated",130
"17-3665","untreated",176
"17-3667","treated",12
"17-3667","untreated",14
"17-3668","treated",211
"17-3668","untreated",158
"17-3676","treated",146
"17-3676","untreated",165
"17-3692","treated",156
"17-3692","untreated",315
"17-3701","treated",119
"17-3701","untreated",147
"17-3704","treated",96
"17-3704","untreated",112
"17-3707","treated",135
"17-3707","untreated",68
"17-3708","treated",90
"17-3708","untreated",69
"19-800","treated",39
"19-800","untreated",28
"e10-5","treated",17
"e10-5","untreated",45
"e10-5-2","treated",295
"e10-5-2","untreated",98
"e10-6","treated",57
"e10-6","untreated",71
"e9-27","treated",147
"e9-27","untreated",119
