"date","cam","tent","id","treatment","location","sec","vid","vid_id","vid_type"
"11/14/2018",1,2,"17-2421","T","B",5146,NA,NA,NA
"11/14/2018",1,2,"17-2421","T","M",51,NA,NA,NA
"11/14/2018",1,2,"17-2421","T","T",168,NA,NA,NA
"11/14/2018",1,2,"17-2421","U","B",29,NA,NA,NA
"11/14/2018",1,2,"17-2421","U","M",50,NA,NA,NA
"11/14/2018",1,2,"17-2421","U","T",36,NA,NA,NA
"11/14/2018",2,3,"17-2463","T","B",83,NA,NA,NA
"11/14/2018",2,3,"17-2463","T","M",2118,NA,NA,NA
"11/14/2018",2,3,"17-2463","T","T",18,NA,NA,NA
"11/14/2018",2,3,"17-2463","U","B",182,NA,NA,NA
"11/14/2018",2,3,"17-2463","U","M",706,NA,NA,NA
"11/14/2018",2,3,"17-2463","U","T",6,NA,NA,NA
"11/14/2018",3,5,"17-2471","T","B",76,NA,NA,NA
"11/14/2018",3,5,"17-2471","T","M",97,NA,NA,NA
"11/14/2018",3,5,"17-2471","T","T",147,NA,NA,NA
"11/14/2018",3,5,"17-2471","U","B",7,NA,NA,NA
"11/14/2018",3,5,"17-2471","U","M",24,NA,NA,NA
"11/14/2018",3,5,"17-2471","U","T",24,NA,NA,NA
"11/14/2018",6,11,"17-2462","T","B",78,NA,NA,NA
"11/14/2018",6,11,"17-2462","T","M",106,NA,NA,NA
"11/14/2018",6,11,"17-2462","T","T",318,NA,NA,NA
"11/14/2018",6,11,"17-2462","U","B",244,NA,NA,NA
"11/14/2018",6,11,"17-2462","U","M",85,NA,NA,NA
"11/14/2018",6,11,"17-2462","U","T",51,NA,NA,NA
"11/15/2018",1,2,"17-2421","T","B",1797,NA,NA,NA
"11/15/2018",1,2,"17-2421","T","M",0,NA,NA,NA
"11/15/2018",1,2,"17-2421","T","T",86,NA,NA,NA
"11/15/2018",1,2,"17-2421","U","B",636,NA,NA,NA
"11/15/2018",1,2,"17-2421","U","M",0,NA,NA,NA
"11/15/2018",1,2,"17-2421","U","T",1813,NA,NA,NA
"10/29/2018",2,2,"17-6336","T","B",56,NA,NA,NA
"10/29/2018",2,2,"17-6336","T","M",71,NA,NA,NA
"10/29/2018",2,2,"17-6336","T","T",30,NA,NA,NA
"10/29/2018",2,2,"17-6336","U","B",119,NA,NA,NA
"10/29/2018",2,2,"17-6336","U","M",452,NA,NA,NA
"10/29/2018",2,2,"17-6336","U","T",1290,NA,NA,NA
"11/5/2018",2,7,"16-4416","T","B",0,NA,NA,NA
"11/5/2018",2,7,"16-4416","T","M",0,NA,NA,NA
"11/5/2018",2,7,"16-4416","T","T",0,NA,NA,NA
"11/5/2018",2,7,"16-4416","U","B",0,NA,NA,NA
"11/5/2018",2,7,"16-4416","U","M",0,NA,NA,NA
"11/5/2018",2,7,"16-4416","U","T",0,NA,NA,NA
"11/5/2018",4,2,"16-4385","T","B",0,NA,NA,NA
"11/5/2018",4,2,"16-4385","T","M",0,NA,NA,NA
"11/5/2018",4,2,"16-4385","T","T",0,NA,NA,NA
"11/5/2018",4,2,"16-4385","U","B",0,NA,NA,NA
"11/5/2018",4,2,"16-4385","U","M",0,NA,NA,NA
"11/5/2018",4,2,"16-4385","U","T",0,NA,NA,NA
"11/6/2018",1,6,"16-4418","T","B",35,NA,NA,NA
"11/6/2018",1,6,"16-4418","T","M",0,NA,NA,NA
"11/6/2018",1,6,"16-4418","T","T",20,NA,NA,NA
"11/6/2018",1,6,"16-4418","U","B",4111,NA,NA,NA
