"id","treatment","treat_total_sec","total_time","prop_time"
"16-4321","T",0,0,NA
"16-4321","U",0,0,NA
"16-4361","T",0,0,NA
"16-4361","U",0,0,NA
"16-4379","T",0,0,NA
"16-4379","U",0,0,NA
"16-4385","T",2793,2828,0.987623762376238
"16-4385","U",35,2828,0.0123762376237624
"16-4396","T",0,0,NA
"16-4396","U",0,0,NA
"16-4410","T",3694,3694,1
"16-4410","U",0,3694,0
"16-4416","T",0,46,0
"16-4416","U",46,46,1
"16-4417","T",0,751,0
"16-4417","U",751,751,1
"16-4418","T",55,4572,0.0120297462817148
"16-4418","U",4517,4572,0.987970253718285
"16-4428","T",0,0,NA
"16-4428","U",0,0,NA
"16-4476","T",5914,9126,0.648038571115494
"16-4476","U",3212,9126,0.351961428884506
"16-4491","T",0,0,NA
"16-4491","U",0,0,NA
"16-4497","T",0,6040,0
"16-4497","U",6040,6040,1
"16-4500","T",445,2291,0.194238323876037
"16-4500","U",1846,2291,0.805761676123963
"16-4506","T",168,4693,0.0357979970168336
"16-4506","U",4525,4693,0.964202002983166
"16-4531","T",0,0,NA
"16-4531","U",0,0,NA
"16-4545","T",0,0,NA
"16-4545","U",0,0,NA
"16-4546","T",50,216,0.231481481481481
"16-4546","U",166,216,0.768518518518518
"16-4548","T",247,282,0.875886524822695
"16-4548","U",35,282,0.124113475177305
"16-4550","T",0,0,NA
"16-4550","U",0,0,NA
"16-4570","T",61,1139,0.0535557506584723
"16-4570","U",1078,1139,0.946444249341528
"17-2288","T",0,0,NA
"17-2288","U",0,0,NA
"17-2333","T",0,0,NA
"17-2333","U",0,0,NA
"17-2360","T",0,0,NA
"17-2360","U",0,0,NA
"17-2368","T",0,0,NA
"17-2368","U",0,0,NA
"17-2386","T",1189,1852,0.642008639308855
"17-2386","U",663,1852,0.357991360691145
"17-2396","T",1345,1345,1
"17-2396","U",0,1345,0
"17-2400","T",0,0,NA
"17-2400","U",0,0,NA
"17-2401","T",NA,NA,NA
"17-2401","U",NA,NA,NA
"17-2406","T",19,19,1
"17-2406","U",0,19,0
"17-2421","T",10021,12602,0.795191239485796
"17-2421","U",2581,12602,0.204808760514204
"17-2423","T",3156,7510,0.420239680426099
"17-2423","U",4354,7510,0.579760319573902
"17-2436","T",177,1848,0.0957792207792208
"17-2436","U",1671,1848,0.904220779220779
"17-2462","T",1052,2378,0.442388561816653
"17-2462","U",1326,2378,0.557611438183347
"17-2463","T",2328,3295,0.706525037936267
"17-2463","U",967,3295,0.293474962063733
"17-2471","T",1547,2381,0.649727005459891
"17-2471","U",834,2381,0.350272994540109
"17-6336","T",157,2018,0.0777998017839445
"17-6336","U",1861,2018,0.922200198216055
