"id","treatment","location","total_sec","total_time","prop_time"
"16-4321","T","B",0,0,NA
"16-4321","T","M",0,0,NA
"16-4321","T","T",0,0,NA
"16-4321","U","B",0,0,NA
"16-4321","U","M",0,0,NA
"16-4321","U","T",0,0,NA
"16-4361","T","B",0,0,NA
"16-4361","T","M",0,0,NA
"16-4361","T","T",0,0,NA
"16-4361","U","B",0,0,NA
"16-4361","U","M",0,0,NA
"16-4361","U","T",0,0,NA
"16-4379","T","B",0,0,NA
"16-4379","T","M",0,0,NA
"16-4379","T","T",0,0,NA
"16-4379","U","B",0,0,NA
"16-4379","U","M",0,0,NA
"16-4379","U","T",0,0,NA
"16-4385","T","B",145,2828,0.0512729844413013
"16-4385","T","M",1181,2828,0.417609618104668
"16-4385","T","T",1467,2828,0.518741159830269
"16-4385","U","B",15,2828,0.0053041018387553
"16-4385","U","M",7,2828,0.00247524752475248
"16-4385","U","T",13,2828,0.0045968882602546
"16-4396","T","B",0,0,NA
"16-4396","T","M",0,0,NA
"16-4396","T","T",0,0,NA
"16-4396","U","B",0,0,NA
"16-4396","U","M",0,0,NA
"16-4396","U","T",0,0,NA
"16-4410","T","B",3694,3694,1
"16-4410","T","M",0,3694,0
"16-4410","T","T",0,3694,0
"16-4410","U","B",0,3694,0
"16-4410","U","M",0,3694,0
"16-4410","U","T",0,3694,0
"16-4416","T","B",0,46,0
"16-4416","T","M",0,46,0
"16-4416","T","T",0,46,0
"16-4416","U","B",0,46,0
"16-4416","U","M",46,46,1
"16-4416","U","T",0,46,0
"16-4417","T","B",0,751,0
"16-4417","T","M",0,751,0
"16-4417","T","T",0,751,0
"16-4417","U","B",314,751,0.418109187749667
"16-4417","U","M",112,751,0.1491344873502
"16-4417","U","T",325,751,0.432756324900133
"16-4418","T","B",35,4572,0.00765529308836395
"16-4418","T","M",0,4572,0
"16-4418","T","T",20,4572,0.00437445319335083
"16-4418","U","B",4151,4572,0.907917760279965
"16-4418","U","M",11,4572,0.00240594925634296
"16-4418","U","T",355,4572,0.0776465441819773
"16-4428","T","B",0,0,NA
"16-4428","T","M",0,0,NA
"16-4428","T","T",0,0,NA
"16-4428","U","B",0,0,NA
"16-4428","U","M",0,0,NA
"16-4428","U","T",0,0,NA
"16-4476","T","B",2361,9126,0.258711374095989
"16-4476","T","M",129,9126,0.0141354372123603
"16-4476","T","T",3424,9126,0.375191759807144
"16-4476","U","B",476,9126,0.0521586675432829
"16-4476","U","M",451,9126,0.049419241726934
"16-4476","U","T",2285,9126,0.250383519614289
"16-4491","T","B",0,0,NA
"16-4491","T","M",0,0,NA
"16-4491","T","T",0,0,NA
"16-4491","U","B",0,0,NA
"16-4491","U","M",0,0,NA
"16-4491","U","T",0,0,NA
"16-4497","T","B",0,6040,0
"16-4497","T","M",0,6040,0
"16-4497","T","T",0,6040,0
"16-4497","U","B",0,6040,0
"16-4497","U","M",0,6040,0
"16-4497","U","T",6040,6040,1
"16-4500","T","B",63,2291,0.0274989087734614
"16-4500","T","M",58,2291,0.0253164556962025
"16-4500","T","T",324,2291,0.141422959406373
"16-4500","U","B",1823,2291,0.795722391968573
"16-4500","U","M",14,2291,0.00611086861632475
"16-4500","U","T",9,2291,0.00392841553906591
"16-4506","T","B",109,4693,0.0232260813978265
"16-4506","T","M",37,4693,0.00788408267632644
"16-4506","T","T",22,4693,0.00468783294268059
"16-4506","U","B",21,4693,0.0044747496271042
"16-4506","U","M",33,4693,0.00703174941402088
"16-4506","U","T",4471,4693,0.952695503942041
"16-4531","T","B",0,0,NA
"16-4531","T","M",0,0,NA
"16-4531","T","T",0,0,NA
"16-4531","U","B",0,0,NA
"16-4531","U","M",0,0,NA
"16-4531","U","T",0,0,NA
